id	sentence_de	sentence_ch	real time factor	dialect
vs-106518	Die Politik ist der Raum für öffentliche Entscheidungen.	Die Politik isch der Rüüm fer öffentlichi Entscheidige.	0.27034181882353386	vs
vs-117058	Die Uneinigkeit zieht auch durch die städtischen Sozialdemokraten.	D'Uneiigkeit zieht öi durch d'städtischu Sozialdemokrate.	0.35271573752323365	vs
vs-139586	Auf internationaler Ebene sind gemeinsame Normen und Standards anzuwenden.	Uf internationaler beni sind gmeinsami Norme und Standards ahzwändu.	0.3468059198156981	vs
vs-81358	Die Mord-Qualifikation sei in diesem Fall doppelt gegeben.	D'Mord-Qualifikation sige in dem Fall doppelt gigä.	0.349329497354726	vs
vs-86914	Schon vor zehn Jahren waren 74 Prozent stolz auf ihre Heimat.	Scho vor zäh Jahr sind sibunusibzg Prozänt stolz uf ihrusch Heimat gsi.	0.35102487646672925	vs
vs-111828	Genau definiert ist das nicht.	Genau definiart isch das nit.	0.28051257454412615	vs
vs-89024	Die Arche ist voll.	D'Archa isch voll.	0.3060241377748111	vs
zh-103784	Was soll ich bloss tun?	Was sölli eifach mache?	0.2847764802069586	zh
zh-101472	Das ist anspruchsvoll auch für den Hörer.	Das isch aspruchsvoll au für de Hörer.	0.26357568052337793	zh
zh-107827	Ein Notenbank-Sprecher lehnte am Mittwoch eine Stellungnahme ab.	En Notebank-Sprächer hät am Mittwuch e Stelligsnahm abglehnt.	0.3489718140052581	zh
zh-106518	Die Politik ist der Raum für öffentliche Entscheidungen.	D Politik isch de Rum für öffentlichi Entscheitige.	0.26453863749087886	zh
zh-117058	Die Uneinigkeit zieht auch durch die städtischen Sozialdemokraten.	D Uneiigkeit zieht au dur di städtische Sozialdemokrate.	0.3422599603775246	zh
zh-139586	Auf internationaler Ebene sind gemeinsame Normen und Standards anzuwenden.	Uf internationaler Ebeni sind gmeinsami Norme und Standards ahzwände.	0.34839363256824835	zh
zh-81358	Die Mord-Qualifikation sei in diesem Fall doppelt gegeben.	D Mord Qualifikation seg i däm Fall doppled geh.	0.2576869005631459	zh
zh-86914	Schon vor zehn Jahren waren 74 Prozent stolz auf ihre Heimat.	Scho vor zäh Jahr sind vieresächzg Prozänt stolz uf ihri Heimat gsi.	0.3594614212980141	zh
zh-111828	Genau definiert ist das nicht.	Genau definiart isch das nöd.	0.27677240688353777	zh
zh-89024	Die Arche ist voll.	D Arche isch volle.	0.2925134031102061	zh
